latitude;longitude;Название;Описание;Адрес
56.655411;60.70326;Сельская библиотека;д. Большое Седельниково;Ленина, 25
56.612418;60.806395;Сельская библиотека;пос. Первомайский;Садовая, 32
56.698133;60.085723;Городская библиотека;г. Дегтярск;ДК Дегтярск, Ленина площадь, 1а, 1 этаж
56.925366;59.914671;Городская библиотека №7;г. Первоуральск;Пролетарская, 70
56.847992;60.133218;Библиотека №10;;Будённого, 40
56.936563;59.754229;Библиотека №18;;Заречная, 8
56.700199;60.829963;Православная библиотека;Храм во имя Святой Троицы;Карла Маркса, 2
56.852603;60.627357;Свердловская областная библиотека для детей и молодежи им. В.П. Крапивина;;Советская, 7/4, 1-2 этаж
56.824245;60.595321;Екатеринбург;библиотечный центр;Хохрякова, 104, 1 этаж
56.749446;60.698148;Екатеринбург;библиотечный центр;Косарева, 7, 1 этаж
56.981814;60.474332;Городская библиотека;г. Среднеуральск;Бахтеева, 10а, 1 этаж
56.897783;60.583322;Екатеринбург;библиотечный центр;Симбирский переулок, 7, 1 этаж
56.836329;60.586373;Главный Проспект;международный центр искусств;Ленина проспект, 8, 1 этаж
56.83464;60.616616;Екатеринбургская галерея современного искусства;;Красноармейская, 32
56.829772;60.622864;Дом художника;Союз художников России;Куйбышева, 97, 1 этаж
56.839262;60.583986;Ural Vision Gallery;художественная галерея;Шейнкмана, 10, 2 этаж
56.840299;60.598375;Март;центр фотографии;8 Марта, 1, 1 этаж
56.838297;60.623974;ПоЛе;художественная галерея;Ленина проспект, 50ж, 1 этаж
56.836329;60.586373;Alvitr Gallery;;Ленина проспект, 8
56.836518;60.593866;СМОТРИ СЕРДЦЕМ;галерея в темноте;ТЦ Успенский, Вайнера, 10, 5 этаж, справа от лифта
56.833812;60.595264;Антарес;антикварный дом;БЦ Малышева 29, Малышева, 29, 2 этаж
56.850554;60.661714;Антонов;галерея;МЦ  Галерея 11, Студенческая, 11, 4 этаж
56.809832;60.534679;Сити Отель;гостиница;Серафимы Дерябиной, 32Б, 1, 2 этаж
56.844403;60.608669;Художественная галерея Храма на Крови;;Царская, 10
56.836329;60.586373;Камнерезный Дом Алексея Антонова;салон;Ленина проспект, 8
56.847255;60.622861;Татьянин день;арт-клуб;Бажова, 68
56.825866;60.586971;Уралкартина;галерея-мастерская;Московская, 77, 2 этаж
56.82111;60.611875;Центр традиционной народной культуры Среднего Урала;;Чапаева, 10
56.844542;60.591715;Арт-галерея Ельцин центра;;Президентский Центр, Бориса Ельцина, 3а, 2 этаж
56.848923;60.622118;Новый Акрополь;культурный центр;Шевченко, 20, 1 этаж
56.832706;60.597116;Дом Для Коллекционеров;;Вайнера, 13, цокольный этаж
56.829667;60.604121;Галерея под открытым небом;;8 Марта, 37а, парк-выставка Дендрологический
56.846652;60.55893;АртЛаб;школа;Колмогорова, 5/3, 502 офис, 5 этаж
56.82774;60.615711;Столица Каменная;галерея самоцветов;Гостиница Атриум Палас Отель, Куйбышева, 44, 1 этаж
56.83658;60.609334;Урал-Постер;галерея;Пушкина, 10, 10 офис, 1 этаж
56.835022;60.566003;Галерея русского искусства;;ЖК Татищевский, Татищева, 49, 19 офис, 1 этаж
56.827833;60.615905;Арт Палас;картинная галерея;Гостиница Атриум Палас Отель, Куйбышева, 44, 318 офис, 3 этаж
56.853301;60.636446;Зимушка;арт-галерея;Уральская, 74, 1 этаж
56.832939;60.597052;Салон живописи;ИП Божан Н.В.;Вайнера, 13, 0 этаж
56.839916;60.621407;Музей кошек;;ТЦ СИТИ-ЦЕНТР, Ленина проспект, 50, 401, 408 офис, 4 этаж
56.828229;60.590101;Сабина-Арт;художественная галерея;Радищева, 33, 2 этаж
56.829186;60.565117;LVL-GALLERY;онлайн-галерея;БЦ Олимп, Крауля, 9а, 1 этаж
56.842561;60.610645;Эгида;галерея;Карла Либкнехта, 38а
56.838241;60.609899;Екатеринбургский музей карикатуры;;Кинотеатр Салют, Толмачёва, 12, 3 этаж
56.822904;60.603701;Выставочный зал;;УрАГС, 8 Марта, 66
56.841134;60.611666;Плеяды;интернет-магазин добрых кукол;Карла Либкнехта, 22, 1 этаж
56.833476;60.592002;Дом художника;Союз художников России;Малышева, 21/1
56.832216;60.587879;Alvitr Gallery;;БЦ AURORA, Шейнкмана, 55, 1606 офис, 16 этаж
56.963678;60.581361;Музей военной техники;;Александра Козицына, 2
56.959858;60.585713;XX век АВТО;музей автомобильной техники;Александра Козицына, 2а
56.844542;60.591715;Музей первого президента России Б.Н. Ельцина;;Президентский Центр, Бориса Ельцина, 3а, 2-3 этаж
56.836128;60.605504;Музей архитектуры и дизайна;УрГАХУ;Горького, 4а
56.835219;60.603746;Екатеринбургский музей изобразительных искусств;;Воеводина, 5
56.825734;60.607017;Россия-моя история;мультимедийный исторический парк;Исторический парк Россиия - моя история, Народной Воли, 49
56.840834;60.611226;Музей истории Екатеринбурга;;Карла Либкнехта, 26
56.840796;60.622431;Свердловский областной краеведческий музей;;Ленина проспект, 69/10
56.837427;60.60559;Музей природы;;Горького, 4
56.839187;60.60691;Музей истории камнерезного и ювелирного искусства;;Ленина проспект, 37
