latitude;longitude;Название;Описание;Адрес
56.836119;60.616033;Космос;сеть кулинарий;ТРЦ Антей, Малышева, 53, 1 этаж
56.799353;60.575783;Космос;сеть кулинарий;Академика Бардина, 42, 1 этаж
56.841059;60.610472;Космос;сеть кулинарий;ТЦ Галерея, Карла Либкнехта, 27, 1 этаж
56.782473;60.608381;Космос;сеть кулинарий;Титова, 12, 1 этаж
56.833355;60.591635;Пан-Пицца;сеть пиццерий;Малышева, 21/1, 1 этаж
56.800712;60.593664;Pizza 911;;Московская, 198
56.833668;60.593954;Domino`s Pizza;пиццерия;Малышева, 27, вход с ул. Малышева
56.832498;60.589947;DUO Pizza and Wine;пиццерия;Сакко и Ванцетти, 61, 1 этаж
56.844542;60.591715;Pinzeria by Bontempi;ресторан;Президентский Центр, Бориса Ельцина, 3а, 2 этаж
56.836181;60.597854;Pizza Hut;пиццерия;ЦУМ, Банковский переулок, 3, 1 этаж
56.804989;60.614084;Папа Джонс;пиццерия;Степана Разина, 122, 1 этаж
56.784016;60.608976;Сытый Самурай;сеть ресторанов популярной кухни;Титова, 1, 1 этаж
56.775748;60.606479;Italianpizza24.ru;пиццерия;Агрономическая, 28, 1 этаж
56.838473;60.581602;IL Патио;сеть семейных итальянских ресторанов;Московская, 27, 1 этаж
56.852448;60.61626;Магик-пицца;пиццерия;Луначарского, 31, 1 этаж
56.79094;60.516458;WILLY;кафе-пиццерия;Вильгельма де Геннина, 40, 1 этаж
56.785653;60.514246;Точно! Пицца;пиццерия;Академика Сахарова проспект, 53, 1 этаж
56.853604;60.638175;КусОk;пиццерия;Уральская, 75
56.781406;60.669393;Число Пи;открытая кухня;Рощинская, 29, цокольный этаж
56.79578;60.58077;3 минуты & GO;пицца-маркет;ТЦ КИТ, Амундсена, 65, супермаркет Райт
56.895449;60.639586;Чудо-печка;кафе;Баумана, 56, 1 этаж
56.747105;60.564523;Ciao pizza & burgers;ресторан;Золотистый бульвар, 4, 2 офис, 1 этаж
56.790021;60.517942;СУШИ ТОЧКА;магазин;Вильгельма де Геннина, 37, 1 этаж
56.8311;60.550068;Smile Pizza;пиццерия;Крауля, 70, 1 этаж
56.753633;60.697325;Леос;пиццерия;Грибоедова, 15, 1 этаж
56.685729;60.855059;Нагано;служба доставки;Октябрьская, 153, 1 этаж
56.788661;60.649296;Pizza Market;;ТРК Глобус, Щербакова, 4, 1 этаж, напротив касс РАЙТ
56.82443;60.604794;Пан-Пицца;сеть пиццерий;8 Марта, 49, 1 этаж
56.842459;60.646017;Папа Джонс;пиццерия;Гагарина, 33, 1 этаж
56.861332;60.642666;Italianpizza24.ru;пиццерия;Сулимова, 31а, 1 этаж
56.889841;60.632596;Чудо-печка;кафе;Краснофлотцев, 24, 1 этаж
56.837049;60.629482;Пан-Пицца;сеть пиццерий;Малышева, 108, 1 этаж
56.8319;60.56724;Папа Джонс;пиццерия;Мельникова, 38, 1 этаж
56.861332;60.642666;Italianpizza24.ru;пиццерия;Сулимова, 31а, 1 этаж
56.829376;60.617066;Пан-Пицца;сеть пиццерий;Белинского, 71, 1 этаж
56.836585;60.59138;Папа Джонс;пиццерия;Хохрякова, 3а, 1 этаж
56.829476;60.635899;Пан-Пицца;сеть пиццерий;Восточная, 160, 2 этаж
56.8319;60.56724;Папа Джонс;пиццерия;Мельникова, 38, 1 этаж
56.897806;60.603251;Пан-Пицца;сеть пиццерий;Победы, 26, 1 этаж
56.8319;60.56724;Папа Джонс;пиццерия;Мельникова, 38, 1 этаж
56.853111;60.604404;Папа Джонс;пиццерия;Свердлова, 25, 1 этаж
56.844542;60.591715;БАРБОРИС;семейный ресторан;Президентский Центр, Бориса Ельцина, 3а, 1 этаж
56.836893;60.586525;Monk;ресторан;Ленина проспект, 9а, 1 этаж
56.835093;60.612835;Васаби;ресторан паназиатской кухни;Отель Центральный, Малышева, 74, 1 этаж
56.83503;60.612513;Дубровин;ресторан;Отель Центральный, Малышева, 74, 1 этаж
56.850113;60.569222;Золотая долина;ресторан;Готвальда, 6/2, 1 этаж
56.83649;60.618408;Park Inn by Radisson Ekaterinburg;ресторан;Гостиница Park Inn, Мамина-Сибиряка, 98, 1 этаж
