latitude;longitude;Название;Описание;Адрес
56.854966;60.553011;MOLOKO Lounge Time;;Бебеля, 63, 202 офис, 2 этаж
56.834606;60.606302;BARTON lounge;лаунж-бар;Малышева, 56
56.835991;60.614245;Густой;;БЦ Высоцкий, Малышева, 51, 1 этаж
56.824399;60.619899;Haze;центр паровых коктейлей;Декабристов, 20, 1 этаж
56.839972;60.614753;Музей;центр паровых коктейлей;Ленина проспект, 49, 2 этаж
56.834734;60.614577;Triada;лаундж-бар;Белинского, 7, 2 этаж
56.827967;60.587835;СЕКРЕТНОЕ МЕСТО;лаундж-бар;Шейнкмана, 86, 1 этаж
56.805683;60.612862;Lounge Tea Pasha;чайная;Циолковского, 57, цокольный этаж
56.827821;60.594296;KAIFOOI;бар;Хохрякова, 72, 1 этаж
56.836434;60.591438;Есенин Lounge;;Хохрякова, 3а, 2 этаж
56.844476;60.616656;НаКурилы;;БЦ Манхэттен, Мамина-Сибиряка, 101, 17 этаж
56.831437;60.595477;Hookah Place shop & lounge;центр паровых коктейлей;Вайнера, 40, цокольный этаж
56.833722;60.569556;Чёрный Лис;лаунж-бар;Мельникова, 27, 1 этаж
56.832216;60.587879;UHC Contrast;клуб паровых коктейлей;БЦ AURORA, Малышева, 12, 16 этаж
56.835991;60.614245;Berberia;центр паровых коктейлей;БЦ Высоцкий, Малышева, 51, 50 этаж
56.839972;60.614753;nua smoke;;Ленина проспект, 49, 2 этаж
56.856179;60.60669;Мята Lounge;центры паровых коктейлей;Гостиница Маринс Парк Отель, Челюскинцев, 106, 1 этаж
56.832197;60.599943;НеЧайная;центр паровых коктейлей;8 Марта, 18
56.840107;60.599039;Ni Hua Hua;центр паровых коктейлей;Химиков переулок, 4, цокольный этаж
56.83264;60.601383;Shisha Bar;центр паровых коктейлей;Чернышевского, 10, 1 этаж
56.824522;60.621114;Депо;лаунж-бар;Декабристов, 16/18Б, цокольный этаж
56.819023;60.619411;Max House;;Большакова, 45, 2 этаж
56.827492;60.594118;Narge;бар паровых коктейлей;Хохрякова, 72, 2 этаж
56.836929;60.611531;Chemodan Lounge;;Дом контор Строгановъ, Карла Либкнехта, 5, цокольный этаж, вход в арку
56.839158;60.613605;PRAVDA lounge;центр паровых коктейлей;Ленина проспект, 44, 2 этаж
56.84779;60.623679;AMSTERDAM lounge;;Бажова, 35, цокольный этаж
56.836909;60.622679;CosmoShopLounge;центр паровых коктейлей;ТЦ Crystals, Малышева, 71, 4 этаж
56.829831;60.59204;LOUNGE BAR 25;;Радищева, 25, 2 этаж, магазин Scenarium concept store
56.848305;60.622465;K1 lounge bar;;Бажова, 68, 1 этаж
56.841369;60.611588;Дно;бар паровых коктейлей;Карла Либкнехта, 22, 1 этаж
56.833694;60.59751;GIZA HOOKAH CLUB;центр паровых коктейлей;ДЦ Малышева 36, Малышева, 36, цокольный этаж
56.819408;60.61831;VEGAS lounge room;центр паровых коктейлей;Белинского, 108, 1 этаж
56.834577;60.611814;KAM with me;лаундж-бар;Розы Люксембург, 8/10, 2 этаж, правое крыло
56.834788;60.594837;Hobot;центр паровых коктейлей;Вайнера, 16а, 2 этаж
56.843274;60.6151;Puff-Puff;центр паровых коктейлей;Тургенева, 22, 1 этаж
56.888801;60.612907;Crystal Lounge;центр паровых коктейлей;ТЦ Стрелка, Космонавтов проспект, 23а, 3 этаж
56.840016;60.626893;ФИЧА HOOKAH;центр паровых коктейлей;Ленина проспект, 54а, 1 этаж
56.833444;60.569524;ПЕРС;центр паровых коктейлей;Мельникова, 27
56.841856;60.646401;Пушка;центр паровых коктейлей;Гагарина, 35Б, цокольный этаж
56.836095;60.609628;Галерея;лаундж-бар;Пушкина, 4, цокольный этаж
56.838115;60.610899;7 поводов;центр паровых коктейлей;Карла Либкнехта, 13, цокольный этаж
56.839069;60.647299;Svoi;лаунж-бар;Гагарина, 45, 1 этаж
56.832155;60.600791;Face To-Haze;;8 Марта, 29, 1 этаж
56.827079;60.594508;Black Haze Lounge;бар паровых коктейлей;Хохрякова, 74, 2 этаж
56.831822;60.601152;Library H-Club;;8 Марта, 31, 2 этаж
56.850051;60.596331;the Loft;;Красный переулок, 5/1, 1 этаж
56.835229;60.599073;Tabacoff;центр паровых коктейлей;ТЦ Мытный Двор, 8 Марта, 8д, 3 этаж, 3 подъезд
56.844476;60.616656;Malina Lounge;центр паровых коктейлей;БЦ Манхэттен, Мамина-Сибиряка, 101, 2.16 офис, 2 этаж
56.837903;60.627431;Bazhov;центр паровых коктейлей;Бажова, 125, цокольный этаж
56.840485;60.636112;ТЯГА;лаунж-бар;Генеральская, 3, цокольный этаж, 2 подъезд
56.836471;60.582292;РАЗГОВОРЫ;лаундж-бар;Ленина проспект, 5
56.835625;60.570345;Поехали;лаунж-бар;Татищева, 6 к1, цокольный этаж
56.859912;60.619231;Dark Moon lounge;;Смазчиков, 3, цокольный этаж
