latitude;longitude;Название;Описание;Адрес
56.887445;60.59156;Charme;студия красоты;Орджоникидзе проспект, 3, 1 этаж
56.854145;60.55937;Кристина;салон красоты;Опалихинская, 27, 1 этаж
56.768484;60.60935;Марлен;салон-парикмахерская;Санаторная, 11, 1 этаж
56.83153;60.622381;Goddess;центр косметологии и красоты;Карла Маркса, 36, 1 этаж
56.838978;60.647333;Классика плюс;салон-парикмахерская;Гагарина, 45, 1 этаж
56.795884;60.510667;Soho beauty club;салон красоты;Рябинина, 21, 1 этаж
56.786521;60.475737;Цвет;салон красоты;Евгения Савкова, 54
56.783439;60.654763;Best & Я;студия красоты;Щербакова, 20, 4 офис, 1 этаж
56.831517;60.566956;AXIS-SALON;салон красоты;Мельникова, 38, 101 офис, 1 этаж
56.815892;60.614398;MODIFIC;студия красоты;Чапаева, 21
56.83024;60.56385;IRIS;салон-парикмахерская;Крауля, 10, 1 этаж
56.831313;60.547001;Кума;салон красоты;Крауля, 74
56.898186;60.593505;Милан;парикмахерская;Уральских Рабочих, 52, 1 этаж
56.804296;60.602194;Premier;студия красоты;ЖК Премьер, Циолковского, 27, цокольный этаж
56.794901;60.619664;Профессионал;салон-парикмахерская;Академика Шварца, 10/3, 1 этаж
56.875181;60.516693;Эгоист & ка;салон-парикмахерская;Техническая, 78, 1 этаж
56.834719;60.653092;Нежнее Шелка;студия эстетики тела;Педагогическая, 12, 1 этаж
56.800508;60.593735;AVENA;студия красоты;Московская, 198, 20 офис, 2 этаж
56.793086;60.575785;Полианна;салон-парикмахерская;Амундсена, 73, 1 этаж
56.782652;60.518836;АУРУМ;салон красоты;Академика Сахарова проспект, 47, 1 этаж
56.834377;60.592183;ALEXANDERPAK;салон красоты;Хохрякова, 21, 1 этаж
56.82363;60.617212;Only nails;ногтевая студия;ЖК Белинского 86, Белинского, 86
56.849373;60.596641;Дамский клуб;школа красоты;Красный переулок, 6, 1 этаж
56.854127;60.599304;Gastronom;маникюрный кабинет;Азина, 59
56.80199;60.62825;BEAUTY Lebedeva;салон красоты;Белинского, 216, 1 этаж
56.853916;60.60646;Он и Она;парикмахерская;Азина, 39, 1 этаж
56.835991;60.614245;Light Room;студия красоты;БЦ Высоцкий, Малышева, 51, 4510 офис, 45 этаж
56.809595;60.608671;W-you;студия красоты;8 Марта, 146, 2 этаж
56.89705;60.624872;Vogue;салон красоты;Красных Командиров, 17
56.80184;60.569394;Златовласка;парикмахерская;Академика Бардина, 32/1, 1 этаж
56.857922;60.631645;Город Красоты;студия красоты;Уральская, 59
56.789862;60.647303;Фея;салон-парикмахерская;ТРК Глобус, Щербакова, 4, 211 офис, 2 этаж
56.856289;60.598804;GoldFit;фитнес-клуб;ТЦ Свердловск, Героев России, 2, 7 этаж
56.819861;60.618352;Colt ink;тату-студия;Белинского, 108, 29 офис, 4 этаж
56.819447;60.618659;Wel`s beauty boutique;студия красоты;Белинского, 108, 1 этаж
56.850679;60.564169;AURORA;клиника красоты;Опалихинская, 18, 1 этаж
56.837589;60.647843;Krasotovskaya beauty studio;салон красоты;Гагарина, 49, 1 этаж
56.796114;60.581925;Selfie;салон красоты;ТЦ КИТ, Амундсена, 65, 2 этаж
56.806393;60.600892;Миндаль;салон красоты;Серова, 45
